domingo_semana,promedio,0.0275,0.975
2020-03-01,13.5,9.7,17.7
2020-03-08,59.2,50.5,67.0
2020-03-15,201.4,183.5,221.0
2020-03-22,64.9,38.0,89.8
2020-03-29,35.5,12.7,60.7
2020-04-05,23.9,-7.3,56.9
2020-04-12,137.1,105.6,166.9
2020-04-19,334.1,301.0,366.0
2020-04-26,1122.6,1077.5,1181.2
2020-05-03,1683.8,1605.5,1761.0
2020-05-10,1003.8,912.7,1101.4
2020-05-17,590.5,476.1,687.3
2020-05-24,-131.9,-226.9,-30.9
2020-05-31,-137.6,-232.6,-31.0
2020-06-07,-620.4,-710.9,-513.4
2020-06-14,-376.7,-474.8,-286.1
2020-06-21,-793.9,-872.4,-705.8
2020-06-28,-505.7,-578.2,-429.1
2020-07-05,-356.7,-429.7,-282.4
2020-07-12,-272.9,-335.3,-207.8
2020-07-19,-89.1,-154.5,-18.9
2020-07-26,-121.7,-184.1,-54.0
2020-08-02,-44.0,-123.7,14.8
2020-08-09,-140.8,-204.3,-79.9
2020-08-16,73.4,19.3,136.9
2020-08-23,85.0,25.7,147.8
2020-08-30,19.2,-36.5,74.9
2020-09-06,-178.9,-239.0,-116.6
2020-09-13,-218.2,-272.2,-167.6
2020-09-20,221.4,166.1,273.0
2020-09-27,-127.9,-185.9,-74.5
2020-10-04,-56.4,-110.3,5.8
2020-10-11,-45.8,-101.1,4.5
2020-10-18,-80.2,-133.1,-27.6
2020-10-25,-13.5,-63.6,42.0
2020-11-01,21.4,-27.9,76.6
2020-11-08,-8.4,-61.8,45.4
2020-11-15,-0.5,-59.3,55.1
2020-11-22,41.0,-8.0,92.9
2020-11-29,191.4,143.5,247.8
2020-12-06,184.0,121.9,238.0
2020-12-13,254.6,187.6,316.6
2020-12-20,270.4,211.5,336.7
2020-12-27,738.1,662.3,816.4
2021-01-03,989.0,910.4,1085.2
2021-01-10,-114.5,-275.3,29.8
2021-01-17,-3923.2,-4064.7,-3789.7
