Domingo_semana,region,0,0.0275,0.975
2020-03-01,1,0.3,0.0,0.9
2020-03-01,2,0.8,0.1,1.7
2020-03-01,3,0.2,0.0,0.7
2020-03-01,4,0.7,0.1,1.4
2020-03-01,5,1.3,0.4,2.4
2020-03-01,6,0.7,0.1,1.4
2020-03-01,7,1.0,0.3,1.9
2020-03-01,8,1.9,0.7,3.0
2020-03-01,9,1.6,0.6,3.1
2020-03-01,10,1.1,0.3,2.1
2020-03-01,11,0.1,0.0,0.6
2020-03-01,12,0.8,0.1,1.7
2020-03-01,13,10.4,7.1,13.9
2020-03-01,14,0.6,0.1,1.3
2020-03-01,15,0.5,0.0,1.3
2020-03-01,16,1.3,0.4,2.6
2020-03-08,1,0.5,0.0,1.1
2020-03-08,2,1.3,0.4,2.6
2020-03-08,3,0.2,0.0,0.6
2020-03-08,4,1.2,0.4,2.4
2020-03-08,5,2.8,1.3,4.6
2020-03-08,6,1.1,0.3,2.1
2020-03-08,7,1.7,0.7,3.0
2020-03-08,8,5.1,3.3,7.3
2020-03-08,9,5.4,3.4,7.9
2020-03-08,10,2.9,1.7,4.6
2020-03-08,11,0.1,0.0,0.6
2020-03-08,12,1.9,0.7,3.3
2020-03-08,13,49.5,42.4,56.9
2020-03-08,14,0.9,0.2,1.9
2020-03-08,15,0.6,0.1,1.6
2020-03-08,16,5.3,3.4,8.0
2020-03-15,1,1.1,0.4,2.0
2020-03-15,2,3.6,2.1,5.4
2020-03-15,3,0.2,0.0,0.7
2020-03-15,4,2.3,1.1,3.6
2020-03-15,5,9.8,6.9,12.7
2020-03-15,6,1.9,0.7,3.0
2020-03-15,7,3.5,2.1,5.4
2020-03-15,8,17.7,13.9,22.3
2020-03-15,9,28.5,23.5,33.6
2020-03-15,10,12.3,9.4,16.1
2020-03-15,11,0.1,0.0,0.4
2020-03-15,12,9.4,6.5,12.2
2020-03-15,13,143.0,130.1,155.9
2020-03-15,14,4.4,2.5,6.6
2020-03-15,15,1.2,0.4,2.1
2020-03-15,16,22.4,18.0,27.4
2020-03-22,1,2.1,1.0,3.6
2020-03-22,2,5.6,3.6,7.7
2020-03-22,3,0.4,0.0,1.0
2020-03-22,4,2.6,1.4,4.0
2020-03-22,5,14.5,11.6,17.4
2020-03-22,6,2.1,1.0,3.4
2020-03-22,7,6.4,4.1,9.0
2020-03-22,8,22.3,18.2,27.0
2020-03-22,9,40.5,34.7,46.9
2020-03-22,10,19.6,15.2,24.1
2020-03-22,11,0.1,0.0,0.4
2020-03-22,12,18.1,14.1,22.3
2020-03-22,13,157.8,146.2,169.7
2020-03-22,14,6.9,4.9,9.3
2020-03-22,15,3.1,1.7,4.7
2020-03-22,16,31.1,25.5,36.0
2020-03-29,1,3.9,2.3,6.0
2020-03-29,2,8.7,6.0,11.6
2020-03-29,3,0.6,0.1,1.4
2020-03-29,4,2.3,1.1,4.0
2020-03-29,5,14.0,10.6,17.3
2020-03-29,6,1.9,0.7,3.3
2020-03-29,7,7.0,4.7,9.7
2020-03-29,8,20.5,16.6,24.6
2020-03-29,9,35.1,29.5,41.1
2020-03-29,10,16.1,13.1,19.9
2020-03-29,11,0.1,0.0,0.4
2020-03-29,12,21.9,18.1,26.4
2020-03-29,13,201.1,186.1,216.9
2020-03-29,14,5.7,3.9,7.7
2020-03-29,15,8.7,6.2,12.0
2020-03-29,16,22.8,18.6,27.4
2020-04-05,1,5.6,3.7,7.9
2020-04-05,2,14.2,10.3,19.0
2020-04-05,3,1.0,0.3,1.9
2020-04-05,4,2.3,1.1,3.6
2020-04-05,5,13.8,10.4,17.6
2020-04-05,6,2.1,1.0,3.4
2020-04-05,7,10.4,7.7,14.3
2020-04-05,8,14.9,11.6,18.4
2020-04-05,9,29.1,24.3,34.6
2020-04-05,10,9.1,6.3,12.1
2020-04-05,11,0.1,0.0,0.4
2020-04-05,12,23.3,18.6,28.7
2020-04-05,13,251.1,234.6,266.8
2020-04-05,14,4.2,2.4,6.3
2020-04-05,15,9.6,7.1,12.6
2020-04-05,16,11.1,8.5,14.4
2020-04-12,1,8.3,5.3,11.6
2020-04-12,2,22.1,17.4,27.3
2020-04-12,3,1.6,0.6,2.7
2020-04-12,4,2.6,1.3,4.3
2020-04-12,5,15.5,12.1,19.9
2020-04-12,6,3.3,1.9,5.1
2020-04-12,7,20.6,16.6,25.7
2020-04-12,8,14.3,10.7,18.9
2020-04-12,9,28.2,22.8,34.7
2020-04-12,10,6.3,4.0,8.3
2020-04-12,11,0.1,0.0,0.4
2020-04-12,12,19.2,15.1,23.3
2020-04-12,13,371.4,352.8,388.0
2020-04-12,14,3.1,1.7,4.7
2020-04-12,15,8.3,5.8,11.0
2020-04-12,16,9.0,6.8,11.7
2020-04-19,1,13.1,9.7,17.0
2020-04-19,2,35.0,29.6,41.1
2020-04-19,3,3.4,2.0,5.1
2020-04-19,4,3.1,1.7,4.9
2020-04-19,5,23.5,19.5,28.1
2020-04-19,6,6.1,4.3,8.1
2020-04-19,7,7.9,5.7,11.1
2020-04-19,8,10.6,7.9,14.1
2020-04-19,9,19.1,15.1,23.0
2020-04-19,10,5.3,3.3,8.0
2020-04-19,11,0.1,0.0,0.4
2020-04-19,12,12.7,9.3,15.7
2020-04-19,13,714.8,689.8,742.1
2020-04-19,14,2.4,1.1,3.7
2020-04-19,15,9.4,6.7,12.3
2020-04-19,16,6.8,4.7,9.6
2020-04-26,1,32.1,27.1,37.6
2020-04-26,2,57.3,49.8,65.3
