Domingo_semana,region,0,0.0275,0.975
2020-03-01,1,0.3,0.0,0.9
2020-03-01,2,0.8,0.1,1.7
2020-03-01,3,0.2,0.0,0.7
2020-03-01,4,0.7,0.1,1.4
2020-03-01,5,1.3,0.4,2.4
2020-03-01,6,0.7,0.1,1.4
2020-03-01,7,1.0,0.3,1.9
2020-03-01,8,1.9,0.7,3.0
2020-03-01,9,1.6,0.6,3.1
2020-03-01,10,1.1,0.3,2.1
2020-03-01,11,0.1,0.0,0.6
2020-03-01,12,0.8,0.1,1.7
2020-03-01,13,10.4,7.1,13.9
2020-03-01,14,0.6,0.1,1.3
2020-03-01,15,0.5,0.0,1.3
2020-03-01,16,1.3,0.4,2.6
2020-03-08,1,0.2,-0.4,0.9
2020-03-08,2,0.6,-0.4,1.7
2020-03-08,3,0.0,-0.4,0.4
2020-03-08,4,0.5,-0.6,1.7
2020-03-08,5,1.5,-0.2,3.3
2020-03-08,6,0.4,-0.5,1.4
2020-03-08,7,0.7,-0.7,2.1
2020-03-08,8,3.3,0.9,5.6
2020-03-08,9,3.8,1.4,6.6
2020-03-08,10,1.8,0.1,3.6
2020-03-08,11,0.0,-0.4,0.4
2020-03-08,12,1.1,-0.1,2.7
2020-03-08,13,39.1,31.2,47.3
2020-03-08,14,0.4,-0.7,1.6
2020-03-08,15,0.1,-0.6,1.0
2020-03-08,16,4.0,1.9,6.3
2020-03-15,1,0.6,-0.4,1.7
2020-03-15,2,2.3,0.7,4.3
2020-03-15,3,0.1,-0.4,0.6
2020-03-15,4,1.1,-0.4,2.6
2020-03-15,5,7.0,4.2,10.1
2020-03-15,6,0.8,-0.5,2.3
2020-03-15,7,1.8,-0.1,4.0
2020-03-15,8,12.5,8.2,17.3
2020-03-15,9,23.1,17.5,28.9
2020-03-15,10,9.4,6.4,13.3
2020-03-15,11,-0.0,-0.4,0.3
2020-03-15,12,7.5,4.4,10.9
2020-03-15,13,93.5,77.1,109.7
2020-03-15,14,3.5,1.4,5.7
2020-03-15,15,0.5,-0.4,1.6
2020-03-15,16,17.0,12.4,21.9
2020-03-22,1,0.9,-0.2,2.4
2020-03-22,2,1.9,-0.7,4.3
2020-03-22,3,0.2,-0.4,0.9
2020-03-22,4,0.3,-1.4,2.0
2020-03-22,5,4.7,0.8,9.3
2020-03-22,6,0.2,-1.2,1.7
2020-03-22,7,2.8,0.1,5.7
2020-03-22,8,4.6,-1.2,10.3
2020-03-22,9,12.0,3.3,20.7
2020-03-22,10,7.3,1.5,14.0
2020-03-22,11,-0.0,-0.4,0.3
2020-03-22,12,8.7,4.0,13.9
2020-03-22,13,14.8,-4.0,33.3
2020-03-22,14,2.5,-0.5,5.4
2020-03-22,15,2.0,0.5,3.6
2020-03-22,16,8.7,2.1,15.2
2020-03-29,1,1.9,-0.2,4.0
2020-03-29,2,3.2,0.0,6.7
2020-03-29,3,0.2,-0.6,1.0
2020-03-29,4,-0.3,-2.1,1.6
2020-03-29,5,-0.5,-5.8,4.1
2020-03-29,6,-0.2,-1.8,1.4
2020-03-29,7,0.6,-2.9,3.7
2020-03-29,8,-1.8,-8.2,4.6
2020-03-29,9,-5.4,-13.2,2.4
2020-03-29,10,-3.5,-8.5,2.3
2020-03-29,11,-0.0,-0.3,0.3
2020-03-29,12,3.8,-2.1,9.7
2020-03-29,13,43.3,23.0,63.2
2020-03-29,14,-1.2,-4.1,1.4
2020-03-29,15,5.5,2.5,8.7
2020-03-29,16,-8.2,-14.3,-1.4
2020-04-05,1,1.6,-1.2,4.6
2020-04-05,2,5.4,0.9,10.7
2020-04-05,3,0.4,-0.5,1.4
2020-04-05,4,-0.1,-1.9,2.1
2020-04-05,5,-0.2,-4.8,4.2
2020-04-05,6,0.2,-1.4,2.0
2020-04-05,7,3.4,-0.4,7.9
2020-04-05,8,-5.6,-10.9,-0.6
2020-04-05,9,-6.0,-13.9,2.2
2020-04-05,10,-7.0,-11.4,-3.0
2020-04-05,11,0.0,-0.3,0.3
2020-04-05,12,1.4,-4.1,8.6
2020-04-05,13,50.0,28.5,69.9
2020-04-05,14,-1.6,-4.0,1.0
2020-04-05,15,1.0,-3.4,4.9
2020-04-05,16,-11.7,-17.4,-5.9
2020-04-12,1,2.8,-0.4,6.6
2020-04-12,2,8.0,1.2,14.4
2020-04-12,3,0.7,-0.4,2.0
2020-04-12,4,0.4,-1.5,2.3
2020-04-12,5,1.8,-2.6,7.0
2020-04-12,6,1.2,-0.7,3.0
2020-04-12,7,10.2,5.4,15.9
2020-04-12,8,-0.6,-5.3,4.6
2020-04-12,9,-0.9,-9.1,6.0
2020-04-12,10,-2.9,-6.9,0.4
2020-04-12,11,-0.0,-0.4,0.3
2020-04-12,12,-4.1,-9.5,2.4
2020-04-12,13,120.3,94.8,144.3
2020-04-12,14,-1.1,-3.6,1.2
2020-04-12,15,-1.3,-4.7,2.3
2020-04-12,16,-2.1,-6.4,1.7
2020-04-19,1,4.7,0.7,9.0
2020-04-19,2,12.9,5.1,20.4
2020-04-19,3,1.8,-0.1,3.9
2020-04-19,4,0.5,-1.9,2.3
2020-04-19,5,8.0,2.6,14.1
2020-04-19,6,2.8,0.4,5.0
2020-04-19,7,-12.7,-18.3,-7.7
2020-04-19,8,-3.7,-8.6,0.3
2020-04-19,9,-9.1,-16.9,-2.0
2020-04-19,10,-0.9,-3.7,2.1
2020-04-19,11,0.0,-0.3,0.3
2020-04-19,12,-6.5,-11.2,-0.7
2020-04-19,13,343.4,312.3,379.3
