Indicador,Valor,cod_color,fecha
A1,2.56959622906614,2,2020-04-01
A1,2.24595558401526,2,2020-04-02
A1,2.23580567891045,2,2020-04-03
A1,2.28732608330323,2,2020-04-04
A1,1.94274322898546,2,2020-04-05
A1,2.56959622906614,2,2020-04-06
A1,2.29220831613845,2,2020-04-07
A1,2.33846104826164,2,2020-04-08
A1,2.49276530181706,2,2020-04-09
A1,2.54428570620984,2,2020-04-10
A1,2.16886769714328,2,2020-04-11
A1,2.19983133170352,2,2020-04-12
A1,3.16111728099717,2,2020-04-13
A1,2.87846169579989,2,2020-04-14
A1,3.45919044356884,2,2020-04-15
A1,3.30488619001342,2,2020-04-16
A1,3.2848433394267,2,2020-04-17
A1,3.06372958391556,2,2020-04-18
A1,3.16073184156281,2,2020-04-19
A1,5.16514538004585,3,2020-04-20
A1,4.20912710302179,2,2020-04-21
A1,4.53315318750703,2,2020-04-22
A1,5.01790751612036,3,2020-04-23
A1,5.98253394051179,3,2020-04-24
A1,5.99332624467387,3,2020-04-25
A1,6.19311235148376,3,2020-04-26
A1,9.45110341031672,3,2020-04-27
A1,9.35345875361221,3,2020-04-28
A1,9.49722766262846,3,2020-04-29
A1,11.1898206987143,4,2020-04-30
A1,15.7464856917173,4,2020-05-01
A1,14.544942495006,4,2020-05-02
A1,15.3976630036216,4,2020-05-03
A1,20.8299179116789,4,2020-05-04
A1,19.0769393642099,4,2020-05-05
A1,19.0832348749712,4,2020-05-06
A1,19.7090600365602,4,2020-05-07
A1,22.4382281914514,4,2020-05-08
A1,21.2407963487065,4,2020-05-09
A1,23.1727472735299,4,2020-05-10
A1,27.6232879422725,4,2020-05-11
A1,25.2501373449184,4,2020-05-12
A1,22.7618688365022,4,2020-05-13
A1,22.1603263592779,4,2020-05-14
A1,28.3382780930101,4,2020-05-15
A1,25.2559189364338,4,2020-05-16
A1,24.9890663680453,4,2020-05-17
A1,31.8579825277735,4,2020-05-18
A1,26.74962522439,4,2020-05-19
A1,31.1233349658835,4,2020-05-20
A1,24.9121069609848,4,2020-05-21
A1,29.7631192020273,4,2020-05-22
A1,27.1263280315711,4,2020-05-23
A1,24.4679522527907,4,2020-05-24
A1,33.1432945615524,4,2020-05-25
A1,26.3699673815455,4,2020-05-26
A1,26.6880833947039,4,2020-05-27
A1,27.078405061899,4,2020-05-28
A1,28.1477425326249,4,2020-05-29
A1,25.9788748354816,4,2020-05-30
A1,23.6694502246084,4,2020-05-31
A1,37.570323424799,4,2020-06-01
A1,25.3569040682361,4,2020-06-02
A1,24.26366935258,4,2020-06-03
A1,24.0360031266847,4,2020-06-04
A1,27.4024311463842,4,2020-06-05
A1,24.0733907518176,4,2020-06-06
A1,21.4640942610124,4,2020-06-07
A1,28.2142950749577,4,2020-06-08
A1,22.3467505656966,4,2020-06-09
A1,23.6667521485679,4,2020-06-10
A1,21.4694904130934,4,2020-06-11
A1,24.2645687112601,4,2020-06-12
A1,22.4789562916821,4,2020-06-13
A1,19.9813087570298,4,2020-06-14
A1,25.8520652615772,4,2020-06-15
A1,21.9500049079288,4,2020-06-16
A1,19.9815657166527,4,2020-06-17
A1,20.8408386956524,4,2020-06-18
A1,21.3289334993635,4,2020-06-19
A1,20.2981399720736,4,2020-06-20
A1,16.7646881974848,4,2020-06-21
A1,20.2895318247063,4,2020-06-22
A1,18.2698291886603,4,2020-06-23
A1,17.2626759466778,4,2020-06-24
A1,16.5073431351438,4,2020-06-25
A1,16.9577933540991,4,2020-06-26
A1,14.7514095520115,4,2020-06-27
A1,13.9842565978238,4,2020-06-28
A1,14.8990328553713,4,2020-06-29
A1,16.0103832244424,4,2020-06-30
A1,17.566273741142,4,2020-07-01
A1,13.25988742085,4,2020-07-02
A1,14.0527363373284,4,2020-07-03
A1,12.8125207173696,4,2020-07-04
A1,12.0363741763802,4,2020-07-05
A1,15.2493973012045,4,2020-07-06
A1,13.283399226346,4,2020-07-07
A1,12.1494364104591,4,2020-07-08
A1,11.9442541515681,4,2020-07-09
A1,13.5691383270181,4,2020-07-10
A1,11.0149596753264,4,2020-07-11
A1,10.4325606900085,4,2020-07-12
A1,13.0335059930693,4,2020-07-13
A1,11.8809136045217,4,2020-07-14
A1,11.2828400822065,4,2020-07-15
A1,9.79196035010235,3,2020-07-16
A1,11.8818129632018,4,2020-07-17
A1,10.8027110268055,4,2020-07-18
A1,9.27123167428209,3,2020-07-19
A1,13.1359044027976,4,2020-07-20
A1,11.0496492244188,4,2020-07-21
A1,10.6283639226634,4,2020-07-22
A1,11.2875938352303,4,2020-07-23
A1,10.6031818796185,4,2020-07-24
A1,9.56416564439563,3,2020-07-25
A1,8.36172308900413,3,2020-07-26
A1,11.835945670513,4,2020-07-27
A1,10.1248515415779,4,2020-07-28
A1,9.62583595389322,3,2020-07-29
A1,10.3297768408459,4,2020-07-30
A1,10.3002264842116,4,2020-07-31
A1,10.3665220669215,4,2020-08-01
A1,8.81898273796645,3,2020-08-02
A1,11.6042965704627,4,2020-08-03
A1,10.7310192920146,4,2020-08-04
A1,9.82677837900619,3,2020-08-05
A1,10.1808687393715,4,2020-08-06
A1,10.2783849162646,4,2020-08-07
A1,8.35684085616891,3,2020-08-08
A1,7.29816720979366,3,2020-08-09
A1,11.2192425755371,4,2020-08-10
A1,10.0215537731694,4,2020-08-11
A1,9.50801996679054,3,2020-08-12
A1,8.9528587015008,3,2020-08-13
A1,9.51264524000286,3,2020-08-14
A1,7.91525574420389,3,2020-08-15
A1,7.23623994067316,3,2020-08-16
A1,10.7975718343474,4,2020-08-17
A1,10.4642952034375,4,2020-08-18
A1,9.90386626587818,3,2020-08-19
A1,10.5415115701209,4,2020-08-20
A1,9.77525797461342,3,2020-08-21
A1,8.10450650647461,3,2020-08-22
A1,7.75015918648639,3,2020-08-23
A1,11.4296925066977,4,2020-08-24
A1,10.8186425234257,4,2020-08-25
A1,10.6755160134667,4,2020-08-26
A1,10.2475497615158,4,2020-08-27
A1,10.9207839735311,4,2020-08-28
A1,8.45962470533155,3,2020-08-29
A1,7.42227870765755,3,2020-08-30
A1,11.6252387797296,4,2020-08-31
A1,11.2603561152022,4,2020-09-01
A1,10.6233532100167,4,2020-09-02
A1,10.4455371509653,4,2020-09-03
A1,10.9570152803609,4,2020-09-04
A1,8.55213016957793,3,2020-09-05
A1,7.27285668693735,3,2020-09-06
A1,11.2042104375971,4,2020-09-07
A1,10.026821445439,4,2020-09-08
A1,9.68249555074413,3,2020-09-09
A1,9.20146713666295,3,2020-09-10
A1,9.30759146092338,3,2020-09-11
A1,7.48973060867054,3,2020-09-12
A1,6.69135706029969,3,2020-09-13
A1,9.48784863639237,3,2020-09-14
A1,8.97842618398001,3,2020-09-15
A1,8.08433517607644,3,2020-09-16
A1,8.39255824375293,3,2020-09-17
A1,7.40082257914485,3,2020-09-18
A1,7.00484780024576,3,2020-09-19
A1,7.87889595756261,3,2020-09-20
A1,11.1222403178899,4,2020-09-21
A1,9.54887654683269,3,2020-09-22
A1,9.39457229327727,3,2020-09-23
A1,9.13080324036363,3,2020-09-24
A1,9.79607170406885,3,2020-09-25
A1,7.47752502658247,3,2020-09-26
A1,6.67105725009006,3,2020-09-27
A1,10.9164156599417,4,2020-09-28
A1,8.56215159487129,3,2020-09-29
A1,8.12686199366749,3,2020-09-30
A1,9.11859765827557,3,2020-10-01
A1,8.87538537519445,3,2020-10-02
A1,7.18741761232091,3,2020-10-03
A1,6.17756629429791,3,2020-10-04
A1,9.34420820718757,3,2020-10-05
A1,9.09161689787037,3,2020-10-06
A1,8.16630529578365,3,2020-10-07
A1,8.60377905378216,3,2020-10-08
A1,8.52116653501769,3,2020-10-09
A1,7.60780355539613,3,2020-10-10
A1,6.02339052055394,3,2020-10-11
A1,7.65791068186292,3,2020-10-12
A1,9.66784885223845,3,2020-10-13
A1,8.85585644385355,3,2020-10-14
A1,8.66043865063307,3,2020-10-15
A1,8.17208688729905,3,2020-10-16
A1,6.77898029171084,3,2020-10-17
A1,6.15867976201428,3,2020-10-18
A1,9.41024683027457,3,2020-10-19
A1,8.41401437226563,3,2020-10-20
A1,7.71405635946801,3,2020-10-21
A1,7.29791025017075,3,2020-10-22
A1,7.53405614362193,3,2020-10-23
A1,6.31670993010184,3,2020-10-24
A1,6.0334119458473,3,2020-10-25
A1,8.762451620927,3,2020-10-26
A1,8.62947501607282,3,2020-10-27
A1,8.28990287440173,3,2020-10-28
A1,7.06266371539974,3,2020-10-29
A1,7.32900236454245,3,2020-10-30
A1,6.16715942957019,3,2020-10-31
A1,6.14660265973767,3,2020-11-01
A1,9.44133894464627,3,2020-11-02
A1,8.05928161284305,3,2020-11-03
A1,7.52377775870566,3,2020-11-04
A1,7.58609046726052,3,2020-11-05
A1,7.65251452978188,3,2020-11-06
A1,6.51174228388796,3,2020-11-07
A1,6.09546769477925,3,2020-11-08
A1,9.16343711247277,3,2020-11-09
A1,8.59876834113548,3,2020-11-10
A1,7.86296446094239,3,2020-11-11
A1,7.34544778040847,3,2020-11-12
A1,7.48266421904061,3,2020-11-13
A1,6.5072454904871,3,2020-11-14
A1,5.91559595874462,3,2020-11-15
A1,8.68549221386647,3,2020-11-16
A1,7.9466048181985,3,2020-11-17
A1,7.85268607602613,3,2020-11-18
A1,8.00275049580359,3,2020-11-19
A1,8.07405679116018,3,2020-11-20
A1,6.28009318383765,3,2020-11-21
A1,6.01298365582623,3,2020-11-22
A1,9.38455086798391,3,2020-11-23
A1,8.54146634522731,3,2020-11-24
A1,7.94544849989542,3,2020-11-25
A1,7.96626222935085,3,2020-11-26
A1,7.86823213321198,3,2020-11-27
A1,6.51919411295226,3,2020-11-28
A1,5.9926838456166,3,2020-11-29
A1,9.74416586024172,3,2020-11-30
A1,9.69277393566039,3,2020-12-01
A1,9.62300939804125,3,2020-12-02
A1,9.3433088485074,3,2020-12-03
A1,9.1531587275565,3,2020-12-04
A1,7.92514868968579,3,2020-12-05
A1,6.87636798879245,3,2020-12-06
A1,11.2964589422206,4,2020-12-07
A1,9.15842639982609,3,2020-12-08
A1,10.710462522182,4,2020-12-09
A1,10.4791988615661,4,2020-12-10
A1,10.5155586482074,4,2020-12-11
A1,9.38956158063059,3,2020-12-12
A1,8.67007463649207,3,2020-12-13
A1,13.0959471814356,4,2020-12-14
A1,12.2576164117028,4,2020-12-15
A1,11.5906777104486,4,2020-12-16
A1,11.2449385378278,4,2020-12-17
A1,11.4965020086534,4,2020-12-18
A1,9.96540809556431,3,2020-12-19
A1,9.71320222568147,3,2020-12-20
A1,14.9174054684091,4,2020-12-21
A1,13.4081531232671,4,2020-12-22
A1,13.1420714337473,4,2020-12-23
A1,11.8409563831597,4,2020-12-24
A1,11.2617693931282,4,2020-12-25
A1,13.6215580900911,4,2020-12-26
A1,13.6756480907129,4,2020-12-27
A1,20.3574976449651,4,2020-12-28
A1,17.2228472051273,4,2020-12-29
A1,16.9643458244832,4,2020-12-30
A1,14.5391609034906,4,2020-12-31
A1,14.5901673886376,4,2021-01-01
A1,16.3434028957294,4,2021-01-02
A1,16.1220321805953,4,2021-01-03
A1,25.1005868443868,4,2021-01-04
A1,21.8847371637105,4,2021-01-05
A1,21.3546294616542,4,2021-01-06
A1,21.1332587465201,4,2021-01-07
A1,22.5209691900273,4,2021-01-08
A1,21.9127457626073,4,2021-01-09
A2,3.97921894010038,4,2020-03-08
A2,3.70585527667149,4,2020-03-09
A2,3.60756869385576,4,2020-03-10
A2,3.46452836069925,4,2020-03-11
A2,3.35409080401465,4,2020-03-12
A2,3.45429535050354,4,2020-03-13
A2,3.54166263399493,4,2020-03-14
A2,3.50812576082224,4,2020-03-15
A2,3.63382868791697,4,2020-03-16
A2,3.44259790543622,4,2020-03-17
A2,3.14029981831837,4,2020-03-18
A2,2.85911132063205,4,2020-03-19
A2,2.62598660062154,4,2020-03-20
A2,2.33624643845957,4,2020-03-21
A2,2.07071074499065,4,2020-03-22
A2,1.87466889284195,4,2020-03-23
A2,1.69492788759533,4,2020-03-24
A2,1.56296113665339,4,2020-03-25
A2,1.45494091695347,4,2020-03-26
A2,1.34507567691861,4,2020-03-27
A2,1.27159911158644,4,2020-03-28
A2,1.2103098086209,4,2020-03-29
A2,1.16187606636645,4,2020-03-30
A2,1.13654876343615,4,2020-03-31
A2,1.16565698685767,4,2020-04-01
A2,1.16164143685288,4,2020-04-02
A2,1.15544401685717,4,2020-04-03
A2,1.15618287305362,4,2020-04-04
A2,1.15227806907664,4,2020-04-05
A2,1.15370347370047,4,2020-04-06
A2,1.1494587341806,4,2020-04-07
A2,1.10913182098776,4,2020-04-08
A2,1.10644254346924,4,2020-04-09
A2,1.11156129751269,4,2020-04-10
A2,1.09006329758758,4,2020-04-11
A2,1.09490446503682,4,2020-04-12
A2,1.1301760854141,4,2020-04-13
A2,1.15705754461351,4,2020-04-14
A2,1.21265746479044,4,2020-04-15
A2,1.23799435623449,4,2020-04-16
A2,1.25051379281449,4,2020-04-17
A2,1.27028736550629,4,2020-04-18
A2,1.28203916576847,4,2020-04-19
A2,1.34800737253836,4,2020-04-20
A2,1.36087383574768,4,2020-04-21
A2,1.35532622627245,4,2020-04-22
A2,1.37597947092614,4,2020-04-23
A2,1.4389051921785,4,2020-04-24
A2,1.48991694859128,4,2020-04-25
