Indicador,Valor,cod_color,cod_region,fecha
A1,7.13974058942525,3,15,2020-04-01
A1,6.34643607948911,3,15,2020-04-02
A1,7.14965689579946,3,15,2020-04-03
A1,7.93304509936139,3,15,2020-04-04
A1,7.13974058942525,3,15,2020-04-05
A1,7.53639284439332,3,15,2020-04-06
A1,7.54630915076752,3,15,2020-04-07
A1,7.14965689579946,3,15,2020-04-08
A1,5.56304787592718,3,15,2020-04-09
A1,5.55313156955297,3,15,2020-04-10
A1,5.55313156955297,3,15,2020-04-11
A1,5.1564793145849,3,15,2020-04-12
A1,5.94978382452104,3,15,2020-04-13
A1,5.18622823370752,3,15,2020-04-14
A1,5.94978382452104,3,15,2020-04-15
A1,5.94978382452104,3,15,2020-04-16
A1,6.34643607948911,3,15,2020-04-17
A1,6.34643607948911,3,15,2020-04-18
A1,5.95970013089525,3,15,2020-04-19
A1,7.94296140573559,3,15,2020-04-20
A1,7.53639284439332,3,15,2020-04-21
A1,6.75300464083139,3,15,2020-04-22
A1,5.55313156955297,3,15,2020-04-23
A1,5.16639562095911,3,15,2020-04-24
A1,5.55313156955297,3,15,2020-04-25
A1,5.1564793145849,3,15,2020-04-26
A1,6.74308833445718,3,15,2020-04-27
A1,5.95970013089525,3,15,2020-04-28
A1,5.95970013089525,3,15,2020-04-29
A1,5.16639562095911,3,15,2020-04-30
A1,5.1564793145849,3,15,2020-05-01
A1,4.37309111102297,2,15,2020-05-02
A1,4.75982705961683,2,15,2020-05-03
A1,5.55313156955297,3,15,2020-05-04
A1,5.1564793145849,3,15,2020-05-05
A1,5.17631192733331,3,15,2020-05-06
A1,5.1564793145849,3,15,2020-05-07
A1,4.75982705961683,2,15,2020-05-08
A1,5.55313156955297,3,15,2020-05-09
A1,6.35635238586332,3,15,2020-05-10
A1,8.33961366070366,3,15,2020-05-11
A1,7.53639284439332,3,15,2020-05-12
A1,8.33961366070366,3,15,2020-05-13
A1,8.33961366070366,3,15,2020-05-14
A1,7.93304509936139,3,15,2020-05-15
A1,9.52957042560787,3,15,2020-05-16
A1,9.1230018642656,3,15,2020-05-17
A1,13.4861766689144,4,15,2020-05-18
A1,13.0895244139463,4,15,2020-05-19
A1,11.8995676490421,4,15,2020-05-20
A1,12.6928721589782,4,15,2020-05-21
A1,12.3160525167586,4,15,2020-05-22
A1,12.6928721589782,4,15,2020-05-23
A1,11.5128317004482,4,15,2020-05-24
A1,15.4694379437547,4,15,2020-05-25
A1,13.5258418944112,4,15,2020-05-26
A1,15.8859228114712,4,15,2020-05-27
A1,15.4892705565031,4,15,2020-05-28
A1,18.2460037285312,4,15,2020-05-29
A1,19.4359604934354,4,15,2020-05-30
A1,18.2460037285312,4,15,2020-05-31
A1,26.9921859505771,4,15,2020-06-01
A1,21.42913807465,4,15,2020-06-02
A1,21.4192217682758,4,15,2020-06-03
A1,19.8326127484035,4,15,2020-06-04
A1,18.2460037285312,4,15,2020-06-05
A1,19.4458767998096,4,15,2020-06-06
A1,17.8592677799373,4,15,2020-06-07
A1,23.0157470945222,4,15,2020-06-08
A1,22.2323588909603,4,15,2020-06-09
A1,24.5924398080203,4,15,2020-06-10
A1,20.6259172583396,4,15,2020-06-11
A1,19.4458767998096,4,15,2020-06-12
A1,23.8288842172068,4,15,2020-06-13
A1,21.8158740232438,4,15,2020-06-14
A1,26.9822696442029,4,15,2020-06-15
A1,23.8189679108326,4,15,2020-06-16
A1,22.2125262782119,4,15,2020-06-17
A1,22.2224425845861,4,15,2020-06-18
A1,24.5924398080203,4,15,2020-06-19
A1,20.2391813097457,4,15,2020-06-20
A1,22.2125262782119,4,15,2020-06-21
A1,28.9556146126691,4,15,2020-06-22
A1,26.9822696442029,4,15,2020-06-23
A1,22.6190948395542,4,15,2020-06-24
A1,26.5757010828607,4,15,2020-06-25
A1,26.9723533378287,4,15,2020-06-26
A1,29.3621831740113,4,15,2020-06-27
A1,29.7489191226052,4,15,2020-06-28
