Domingo_semana,0,0.0275,0.975,region
2020-03-01,13.4,10.0,17.3,0
2020-03-08,73.1,65.8,82.4,0
2020-03-15,272.5,253.8,291.2,0
2020-03-22,340.4,323.6,360.3,0
2020-03-29,373.2,354.1,394.0,0
2020-04-05,397.3,379.8,416.7,0
2020-04-12,536.8,510.3,564.7,0
2020-04-19,868.9,837.1,900.4,0
2020-04-26,1996.5,1959.4,2038.5,0
2020-05-03,3673.1,3607.5,3748.7,0
2020-05-10,4680.0,4612.0,4747.7,0
2020-05-17,5272.5,5204.6,5344.5,0
2020-05-24,5137.9,5067.4,5206.4,0
2020-05-31,5007.5,4935.8,5086.5,0
2020-06-07,4384.5,4317.7,4451.9,0
2020-06-14,4012.3,3946.8,4078.3,0
2020-06-21,3212.5,3154.0,3267.7,0
2020-06-28,2701.9,2648.7,2759.1,0
2020-07-05,2348.5,2304.5,2394.5,0
2020-07-12,2078.6,2029.2,2119.9,0
2020-07-19,1979.5,1931.8,2021.5,0
2020-07-26,1868.0,1816.5,1914.6,0
2020-08-02,1822.7,1778.6,1860.6,0
2020-08-09,1684.1,1643.5,1725.3,0
2020-08-16,1752.9,1712.6,1799.2,0
2020-08-23,1838.5,1797.4,1887.4,0
2020-08-30,1859.2,1816.2,1904.6,0
2020-09-06,1673.7,1628.0,1718.3,0
2020-09-13,1463.2,1418.4,1502.1,0
2020-09-20,1684.1,1643.9,1722.5,0
2020-09-27,1554.2,1517.6,1595.4,0
2020-10-04,1497.6,1461.0,1539.6,0
2020-10-11,1453.6,1418.1,1496.7,0
2020-10-18,1373.7,1334.1,1413.0,0
2020-10-25,1356.5,1318.2,1397.5,0
2020-11-01,1381.3,1345.6,1419.4,0
2020-11-08,1370.1,1337.3,1407.1,0
2020-11-15,1368.0,1331.1,1401.1,0
2020-11-22,1414.9,1380.8,1454.0,0
2020-11-29,1605.1,1562.9,1650.3,0
2020-12-06,1784.8,1738.0,1822.0,0
2020-12-13,2045.5,1997.8,2090.9,0
2020-12-20,2303.3,2257.0,2345.5,0
2020-12-27,3038.3,2981.6,3100.9,0
2021-01-03,4042.9,3983.7,4111.3,0
2021-01-10,4009.1,3943.1,4072.9,0
2021-01-17,4000.0,3938.8,4066.5,0
2021-01-24,3966.7,3802.2,4105.7,0
