Domingo_semana,region,0,0.0275,0.975
2020-03-01,1,0.4,0.0,1.0
2020-03-01,2,0.7,0.1,1.6
2020-03-01,3,0.2,0.0,0.6
2020-03-01,4,0.7,0.1,1.7
2020-03-01,5,1.4,0.4,2.6
2020-03-01,6,0.7,0.1,1.4
2020-03-01,7,1.0,0.3,2.1
2020-03-01,8,2.0,0.9,3.6
2020-03-01,9,1.6,0.6,3.0
2020-03-01,10,1.0,0.4,2.0
2020-03-01,11,0.1,0.0,0.6
2020-03-01,12,0.8,0.2,1.6
2020-03-01,13,10.3,7.3,13.9
2020-03-01,14,0.6,0.1,1.4
2020-03-01,15,0.5,0.0,1.1
2020-03-01,16,1.3,0.4,2.4
2020-03-08,1,0.6,0.0,1.2
2020-03-08,2,1.3,0.4,2.3
2020-03-08,3,0.2,0.0,0.7
2020-03-08,4,1.2,0.3,2.4
2020-03-08,5,2.9,1.4,4.9
2020-03-08,6,1.1,0.4,2.0
2020-03-08,7,1.7,0.7,3.1
2020-03-08,8,5.4,3.4,7.7
2020-03-08,9,5.2,3.4,7.7
2020-03-08,10,2.8,1.4,4.3
2020-03-08,11,0.2,0.0,0.6
2020-03-08,12,1.9,0.9,3.3
2020-03-08,13,48.9,42.5,55.4
2020-03-08,14,1.0,0.3,2.1
2020-03-08,15,0.6,0.1,1.4
2020-03-08,16,5.7,3.7,8.4
2020-03-15,1,1.2,0.3,2.3
2020-03-15,2,3.6,2.0,5.7
2020-03-15,3,0.2,0.0,0.7
2020-03-15,4,2.3,1.1,3.7
2020-03-15,5,9.9,6.9,12.7
2020-03-15,6,1.9,0.7,3.0
2020-03-15,7,3.5,2.1,5.3
2020-03-15,8,17.6,14.0,22.4
2020-03-15,9,28.8,23.6,34.1
2020-03-15,10,12.0,9.1,15.4
2020-03-15,11,0.1,0.0,0.4
2020-03-15,12,9.5,6.9,12.4
2020-03-15,13,141.5,129.5,153.1
2020-03-15,14,4.3,2.7,6.4
2020-03-15,15,1.2,0.3,2.0
2020-03-15,16,22.3,18.6,27.0
2020-03-22,1,2.1,1.0,3.4
2020-03-22,2,5.6,3.5,8.0
2020-03-22,3,0.5,0.0,1.1
2020-03-22,4,2.7,1.2,4.2
2020-03-22,5,14.0,10.4,18.4
2020-03-22,6,2.1,1.1,3.1
2020-03-22,7,6.1,4.0,8.4
2020-03-22,8,22.3,18.6,26.9
2020-03-22,9,40.2,34.8,46.4
2020-03-22,10,19.3,16.1,23.9
2020-03-22,11,0.1,0.0,0.4
2020-03-22,12,17.9,13.8,21.9
2020-03-22,13,159.0,147.2,171.7
2020-03-22,14,6.7,4.3,9.4
2020-03-22,15,3.3,1.7,5.0
2020-03-22,16,31.5,25.7,37.2
2020-03-29,1,3.9,2.1,6.0
2020-03-29,2,8.6,5.9,11.7
2020-03-29,3,0.6,0.1,1.4
2020-03-29,4,2.3,1.1,4.0
2020-03-29,5,13.9,10.5,17.1
2020-03-29,6,2.0,1.0,3.4
2020-03-29,7,7.2,5.0,10.0
2020-03-29,8,20.6,15.2,25.2
2020-03-29,9,34.8,29.1,39.6
2020-03-29,10,15.9,12.2,20.1
2020-03-29,11,0.1,0.0,0.4
