Domingo_semana,0,0.0275,0.975,region
2020-03-01,13.6,9.8,17.0,0
2020-03-08,59.5,50.4,69.1,0
2020-03-15,199.6,184.9,216.6,0
2020-03-22,65.0,39.5,92.3,0
2020-03-29,37.7,11.8,66.5,0
2020-04-05,23.6,-9.7,50.2,0
2020-04-12,136.2,106.0,168.1,0
2020-04-19,336.2,302.1,369.9,0
2020-04-26,1123.7,1074.2,1176.6,0
2020-05-03,1675.5,1594.8,1755.7,0
2020-05-10,1009.9,913.1,1104.3,0
2020-05-17,589.9,481.2,692.1,0
2020-05-24,-135.0,-249.3,-29.4,0
2020-05-31,-126.6,-223.2,-34.8,0
2020-06-07,-626.0,-729.1,-520.7,0
2020-06-14,-376.3,-463.2,-284.4,0
2020-06-21,-792.3,-874.9,-713.4,0
2020-06-28,-505.2,-588.1,-426.4,0
2020-07-05,-358.4,-436.6,-280.2,0
2020-07-12,-277.9,-350.7,-211.2,0
2020-07-19,-89.0,-149.9,-22.4,0
2020-07-26,-118.8,-181.2,-49.1,0
2020-08-02,-46.0,-108.6,12.3,0
2020-08-09,-135.9,-200.0,-68.1,0
2020-08-16,70.1,10.1,131.9,0
2020-08-23,84.5,29.6,146.9,0
2020-08-30,16.9,-41.9,82.3,0
2020-09-06,-181.5,-238.7,-119.4,0
2020-09-13,-212.7,-273.8,-141.4,0
2020-09-20,219.9,162.4,281.3,0
2020-09-27,-132.3,-187.3,-75.2,0
2020-10-04,-55.6,-101.4,3.5,0
2020-10-11,-41.7,-92.8,12.0,0
2020-10-18,-75.4,-125.6,-17.2,0
2020-10-25,-20.0,-74.0,30.5,0
2020-11-01,25.1,-26.2,73.0,0
2020-11-08,-9.3,-55.0,35.3,0
2020-11-15,-1.0,-45.3,58.5,0
2020-11-22,40.9,-12.3,97.6,0
2020-11-29,190.3,145.5,247.8,0
2020-12-06,182.1,122.2,238.2,0
2020-12-13,257.3,193.2,325.0,0
2020-12-20,262.0,200.4,324.2,0
2020-12-27,721.2,652.6,797.7,0
2021-01-03,992.5,902.8,1079.2,0
2021-01-10,-14.8,-110.5,71.3,0
2021-01-17,71.6,-24.4,158.2,0
2021-01-24,-137.4,-263.3,-3.5,0
2021-01-31,-3935.7,-4069.2,-3810.4,0
