Domingo_semana,region,0,0.0275,0.975
2020-03-01,1,0.4,0.0,1.0
2020-03-01,2,0.7,0.1,1.6
2020-03-01,3,0.2,0.0,0.6
2020-03-01,4,0.7,0.1,1.7
2020-03-01,5,1.4,0.4,2.6
2020-03-01,6,0.7,0.1,1.4
2020-03-01,7,1.0,0.3,2.1
2020-03-01,8,2.0,0.9,3.6
2020-03-01,9,1.6,0.6,3.0
2020-03-01,10,1.0,0.4,2.0
2020-03-01,11,0.1,0.0,0.6
2020-03-01,12,0.8,0.2,1.6
2020-03-01,13,10.3,7.3,13.9
2020-03-01,14,0.6,0.1,1.4
2020-03-01,15,0.5,0.0,1.1
2020-03-01,16,1.3,0.4,2.4
2020-03-08,1,0.2,-0.4,0.9
2020-03-08,2,0.5,-0.5,1.7
2020-03-08,3,0.0,-0.4,0.6
2020-03-08,4,0.4,-0.8,1.7
2020-03-08,5,1.5,0.0,3.4
2020-03-08,6,0.4,-0.6,1.3
2020-03-08,7,0.7,-0.7,2.3
2020-03-08,8,3.4,1.0,5.6
2020-03-08,9,3.6,1.4,6.1
2020-03-08,10,1.8,0.4,3.6
2020-03-08,11,0.0,-0.4,0.4
2020-03-08,12,1.1,0.1,2.6
2020-03-08,13,38.6,31.5,46.2
2020-03-08,14,0.4,-0.6,1.6
2020-03-08,15,0.1,-0.7,1.0
2020-03-08,16,4.4,2.7,6.9
2020-03-15,1,0.6,-0.4,1.9
2020-03-15,2,2.3,0.7,4.4
2020-03-15,3,0.0,-0.4,0.4
2020-03-15,4,1.2,-0.4,2.7
2020-03-15,5,6.9,3.9,10.0
2020-03-15,6,0.8,-0.4,2.1
2020-03-15,7,1.8,0.1,3.7
2020-03-15,8,12.2,7.6,16.7
2020-03-15,9,23.6,18.0,29.3
2020-03-15,10,9.2,5.9,12.6
2020-03-15,11,-0.0,-0.4,0.4
2020-03-15,12,7.6,4.8,10.7
2020-03-15,13,92.6,79.7,106.0
2020-03-15,14,3.3,1.1,5.6
2020-03-15,15,0.6,-0.4,1.6
2020-03-15,16,16.6,12.2,20.9
2020-03-22,1,0.8,-0.4,2.4
2020-03-22,2,2.0,-0.8,4.7
2020-03-22,3,0.2,-0.3,0.9
2020-03-22,4,0.3,-1.6,2.1
2020-03-22,5,4.1,-0.2,8.7
2020-03-22,6,0.2,-1.1,1.9
2020-03-22,7,2.6,0.3,5.3
2020-03-22,8,4.7,-0.6,9.7
2020-03-22,9,11.4,4.3,19.9
2020-03-22,10,7.4,2.6,12.1
2020-03-22,11,-0.0,-0.4,0.3
2020-03-22,12,8.4,3.4,12.9
2020-03-22,13,17.5,2.1,33.7
2020-03-22,14,2.4,-1.0,5.4
2020-03-22,15,2.1,0.4,4.1
2020-03-22,16,9.2,2.2,15.9
2020-03-29,1,1.9,0.0,4.0
2020-03-29,2,3.0,-0.5,6.6
2020-03-29,3,0.1,-0.5,0.9
2020-03-29,4,-0.3,-2.2,1.4
2020-03-29,5,-0.1,-4.6,5.7
2020-03-29,6,-0.1,-1.6,1.6
2020-03-29,7,1.0,-1.8,4.4
2020-03-29,8,-1.6,-8.1,4.0
2020-03-29,9,-5.4,-14.0,2.6
